,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
550,1012DZ,1012EA,19,100,"94,74",100,79,3x25,4855,"21,05",0,"1,4"
552,1012EB,1012EB,16,100,"93,75",100,94,3x25,7475,"6,25",0,"1,3"
554,1012EC,1012EC,16,100,100,100,88,3x25,11882,25,0,"1,6"
556,1012ED,1012ED,22,100,100,100,82,3x25,18973,"40,91",0,"1,6"
558,1012EE,1012EG,19,100,"94,74",100,95,3x25,2218,"5,26",0,"1,5"
560,1012EH,1012EH,30,100,"96,67",100,90,3x25,10523,"16,67",0,"1,6"
561,1012EJ,1012EJ,34,100,"88,24",100,91,3x25,7196,"17,65",0,"1,9"
563,1012EK,1012EK,19,100,"94,74",100,100,3x25,5389,"10,53",0,"1,9"
565,1012EL,1012EL,21,100,"85,71",100,67,3x25,10030,"28,57",0,"1,6"
567,1012EM,1012EM,22,100,100,100,82,3x25,4445,"13,64",0,"1,2"
569,1012EN,1012EN,14,100,100,100,86,3x25,4555,0,0,"1,5"
571,1012EP,1012EP,16,100,"93,75",100,88,3x25,4808,"18,75",0,"1,6"
